def	fit	ion	x0	tag	sumFormula	x_Lo	x_Hi	d2_Ctr	d2_Lo	d2_Hi	d1_Ctr	d1_Lo	d1_Hi	d0_Ctr	d0_Lo	d0_Hi	calFac	calUnit	charge	ionizFrac	fragOf	isotopeOf	comments	standards	families	baseline	intCalIn
1	1	(NH4)H3N	35.060923		H7N2	35.0567	35.0652		0.00																		
1	1	(NH4)H2O	36.044939		H6NO	36.0406	36.0493		0.00																		
1	1	(H2O)(H3O)	37.028954		H5O2	37.0245	37.0333		0.00																		
1	1	(NH4)C2H2	44.050024		C2H6N	44.0452	44.0549		0.00																		
1	1	(NH4)CH3N	47.060923		CH7N2	47.0559	47.0660		0.00																		
1	1	(NH4)CH2O	48.044939		CH6NO	48.0398	48.0500		0.00																		
1	1	(NH4)H2ON	50.048013		H6N2O	50.0427	50.0532		0.00																		
1	1	(NH4)CH4O	50.060589		CH8NO	50.0553	50.0658		0.00																		
1	1	(NH4)H4N2	50.071822		H8N3	50.0666	50.0771		0.00																		
1	1	(NH4)H3NO	51.055838		H7N2O	51.0505	51.0612		0.00																		
1	1	(NH4)H2O2	52.039853		H6NO2	52.0345	52.0453		0.00																		
1	1	(NH4)H6N2	52.087472		H10N3	52.0821	52.0929		0.00																		
1	1	(NH4)H2OH3N	53.071488		H9N2O	53.0660	53.0769		0.00																		
1	1	(H2O)2(NH4)	54.055503		H8NO2	54.0500	54.0610		0.00																		
1	1	(H2O)2H3O	55.039519		H7O3	55.0340	55.0451		0.00																		
1	1	(NH4)C3H2	56.050024		C3H6N	56.0444	56.0557		0.00																		
1	1	(NH4)C3H4	58.065674		C3H8N	58.0599	58.0715		0.00																		
1	1	(NH4)C2H3N	59.060923		C2H7N2	59.0551	59.0668		0.00																		
1	1	(NH4)CH2N2	60.056172		CH6N3	60.0502	60.0621		0.00																		
1	1	(NH4)C2H3O	61.052764		C2H7NO	61.0468	61.0588		0.00																		
1	1	(H2O)(NH4)C2H2	62.060589		C2H8NO	62.0546	62.0666		0.00																		
1	1	(H2O)(NH4)CHN	63.055838		CH7N2O	63.0497	63.0620		0.00																		
1	1	(H2O)2C2H5	65.060255		C2H9O2	65.0540	65.0665		0.00																		
1	1	(NH3)(NH4)CH2O+	65.070939		CH9N2O	65.0647	65.0771		0.00																		
1	1	H4NO3	66.019118		H4NO3	66.0128	66.0254		0.00																		
1	1	(H2O)(NH4)CH2O	66.055503		CH8NO2	66.0492	66.0618		0.00																		
1	1	(H2O)(NH4)HNO	67.050752		H7N2O2	67.0444	67.0571		0.00																		
1	1	(H2O)(NH4)H3N2	67.074562		H9N3O	67.0682	67.0809		0.00																		
1	1	(H2O)2(NH4)N	68.058577		H8N2O2	68.0521	68.0650		0.00																		
1	1	(H2O)2(NH4)HN	69.066403		H9N2O2	69.0599	69.0729		0.00																		
1	1	(NH4)C3O	70.029289		C3H4NO	70.0228	70.0359		0.00																		
1	1	(H2O)2(NH4)O	70.050418		H8NO3	70.0439	70.0570		0.00																		
1	1	(NH4)C4H4	70.065674		C4H8N	70.0591	70.0722		0.00																		
1	1	(H2O)(NH4)H6N2	70.098037		H12N3O	70.0915	70.1047		0.00																		
1	1	(NH4)C3H3N+	71.060375		C3H7N2	71.0537	71.0670												1								
1	1	(H2O)2(NH4)H3N	71.082053		H11N2O2	71.0754	71.0886		0.00																		
1	1	(NH4)C3H2O	72.044939		C3H6NO	72.0382	72.0516		0.00																		
1	1	(H2O)(NH4)H4O2	72.066068		H10NO3	72.0593	72.0727		0.00																		
1	1	(NH4)C3H5N	73.076573		C3H9N2	73.0698	73.0833		0.00																		
1	1	(NH4)C3H4O	74.060589		C3H8NO	74.0537	74.0674		0.00																		
1	1	(NH4)C2H3NO	75.055838		C2H7N2O	75.0489	75.0627		0.00																		
1	1	(H2O)(NH4)C3H4	76.076239		C3H10NO	76.0693	76.0832		0.00																		
1	1	(H2O)(NH4)C2H3N	77.071488		C2H9N2O	77.0644	77.0785		0.00																		
1	1	(NH4)C2H4O2	78.055503		C2H8NO2	78.0484	78.0625		0.00																		
1	1	(H2O)(NH4)CH2N2	78.066737		CH8N3O	78.0596	78.0738		0.00																		
1	1	(NH4)CH3NO2	79.050752		CH7N2O2	79.0436	79.0579		0.00																		
1	1	(NH4)CH2O3	80.034768		CH6NO3	80.0275	80.0420		0.00																		
1	1	(NH4)C2H6O2	80.071154		C2H10NO2	80.0639	80.0783		0.00																		
1	1	(H2O)(NH4)CH4N2	80.082387		CH10N3O	80.0751	80.0896		0.00																		
1	1	(NH3)(NH4)CH2O2+	81.065854		CH9N2O2	81.0586	81.0731		0.00																		
1	1	(H2O)(NH4)CH2O2	82.050418		CH8NO3	82.0431	82.0578		0.00																		
1	1	(H2O)2C2H6O	82.062994		C2H10O3	82.0557	82.0704		0.00																		
1	1	(NH4)CH6NO2	82.074228		CH10N2O2	82.0669	82.0816		0.00																		
1	1	(H2O)(NH4)C2H6O	82.086804		C2H12NO2	82.0795	82.0942		0.00																		
1	1	(H2O)3CHO	83.034434		CH7O4	83.0271	83.0419		0.00																		
1	1	C5H7O	83.049690		C5H7O	83.0422	83.0571		0.00																		
1	1	(H2O)3C2H5	83.070819		C2H11O3	83.0634	83.0783		0.00																		
1	1	C6H11	83.086075		C6H11	83.0787	83.0935		0.00																		
1	1	(NH4)C4H2O	84.044939		C4H6NO	84.0375	84.0525		0.00																		
1	1	C5H8O	84.057515		C5H8O	84.0500	84.0650		0.00																		
1	1	(NH4)C5H6	84.081324		C5H10N	84.0738	84.0888		0.00																		
1	1	C5H9O	85.065340		C5H9O	85.0578	85.0729		0.00																		
